restaurant_name,borough,street,longitude,latitude
Benjys Pizza,Queens,Main Street,-73.820912,40.724898
Pecoshitas cafe bakery,Queens,Roosevelt Avenue,-73.885652,40.747463
Kyuramen ???,Queens,37th Ave,-73.833483,40.760667
Queen,Brooklyn,Starr Street,-73.922538,40.705729
Snow Show Flushing Inc,Queens,41 Ave,-73.830284,40.757841
Village Natural Restaurant,Manhattan,Greenwich Ave,-74.00052,40.735602
Margon Restaurant,Manhattan,West 46th street,-73.9834,40.757863
Ipoh kitchen Asian cuisine,Brooklyn,20AVE,-73.98538,40.616969
Skyline Bar & Lounge,Bronx,Wilkinson Avenue,-73.842658,40.852788
SWEETGREEN,Manhattan,EAST 55 ST.,-73.97262,40.760691
Ihop,Brooklyn,Flushing avenue,-73.941153,40.700915
SWEETGREEN,Manhattan,UNIVERSITY PLACE,-73.992708,40.734009
Archway Cafe,Brooklyn,Jay Street,-73.986681,40.702763
SWEETGREEN,Queens,UNIVERSITY PLACE,-73.992708,40.734009
SWEETGREEN,Manhattan,BROADWAY,-73.987378,40.752577
SWEETGREEN,Manhattan,6TH AVE,-73.983732,40.755352
SWEETGREEN,Manhattan,PARK AVE,-73.982092,40.746077
SWEETGREEN,Manhattan,BROADWAY,-73.988805,40.744821
SWEETGREEN,Manhattan,GREENWICH ST,-74.009928,40.721353
SWEETGREEN,Manhattan,GREENWICH ST,-74.009928,40.721353
SWEETGREEN,Manhattan,KENMARE ST,-73.997154,40.721359
Black Fox Coffee,Manhattan,East 45th,-73.977398,40.754538
Rintintin,Manhattan,Spring Street,-73.994823,40.721348
Butler,Brooklyn,North 8th Street,-73.959203,40.719689
JEJUDO,Queens,41st Ave.,-73.815155,40.762253
SWEETGREEN,Manhattan,BROADWAY,-73.964466,40.80725
SWEETGREEN,Manhattan,EAST 18 ST.,-73.99126,40.738269
SWEETGREEN,Manhattan,BLEECKER ST,-74.002349,40.730087
SWEETGREEN,Manhattan,WALL ST,-74.008342,40.705749
SPIN,Manhattan,East 23rd Street,-73.987359,40.740599
SWEETGREEN,Manhattan,GANSEVOORT ST,-74.005839,40.739409
SWEETGREEN,Manhattan,3RD AVE,-73.954708,40.777851
SWEETGREEN,Manhattan,ASTOR PLACE,-73.992196,40.729972
SWEETGREEN,Manhattan,BOWERY,-73.991734,40.726535
pita grill,Manhattan,2nd ave,-73.965196,40.759462
SWEETGREEN,Manhattan,BOWERY,-73.991734,40.726535
Legendary Bar & Grill Corp.,Bronx,East Tremont Avenue,-73.826387,40.830872
Mcdonalds,Brooklyn,Nostrand ave,-73.947655,40.632428
CHEF TORIBIO #2 RESTAURANT CORP,Queens,JAMAICA AVE,-73.867332,40.691288
District Local,Manhattan,7th Avenue,-73.999307,40.73909
Edo Japanese Restaurant,Manhattan,E 17th street,-73.991491,40.737624
Joe's Ginger,Manhattan,Pell Street,-73.998207,40.714851
Joe's Ginger,Manhattan,Pell Street,-73.998207,40.714851
Basta Pasta,Manhattan,W 17th,-73.99353,40.738475
12 Chairs Cafe,Brooklyn,Wythe Ave,-73.965049,40.714522
Grain House,Manhattan,Amsterdam ave,-73.965933,40.80012
Kakurega Japanese Cuisine,Queens,37th Ave,-73.833429,40.760686
BONDST,Manhattan,Bond street,-73.994512,40.72684
BONDST,Manhattan,Bond street,-73.994512,40.72684
TACO PUEBLA,Bronx,GRAND CONCOURSE,-73.901289,40.855337
sichuan hotpot cuisine,Manhattan,pell,-73.998261,40.714879
PLG Social LLC,Brooklyn,Flatbush Avenue,-73.960555,40.659579
Sonbobs,Queens,28 ave,-73.917488,40.767268
The Uptown Garrison Inc,Manhattan,West 181st Street,-73.939285,40.851202
Osteria Nando,Manhattan,2nd Avenue,-73.953424,40.775589
Saggio Restaurant Inc,Manhattan,West 181st Street,-73.939635,40.851287
John's Pizzeria,Manhattan,Bleecker St,-74.003172,40.731504
Lar Portugues,Queens,Jamaica Avenue,-73.732109,40.720537
Farewell,Brooklyn,Troutman,-73.929303,40.700033
DunHuang MissNoodle,Brooklyn,Myrtle,-73.963362,40.693714
Shake Shack #1233,Manhattan,Varick Street,-74.005246,40.729146
Thai Chella,Manhattan,"9th Avenue, South Store",-73.989589,40.762599
AUNTS ET UNCLES,Manhattan,NOSTRAND AVE,-73.949704,40.652125
Nomo Soho,Manhattan,Crosby Street,-74.000307,40.719904
Meme Mediterranean,Manhattan,Hudson Street,-74.005871,40.736365
LA TRAVIATA PIZZA,Manhattan,68 STREET,-73.980861,40.774949
Little Atlas,Manhattan,west 4th street,-73.99457,40.728559
Egeo,Queens,34th Ave,-73.927121,40.759623
86 Chikurin Japanese Restaurant,Brooklyn,86 Street,-73.990018,40.599614
Sushi Yu 2,Manhattan,West 181 Street,-73.939596,40.851282
Sweet Moment,Manhattan,Mott Street,-73.997338,40.717481
Sushi Yu 2,Manhattan,West 181st Street,-73.939596,40.851282
LA ESTRELLA BAR & RESTAURANT,Bronx,Jerome ave,-73.916662,40.841655
ICE CREAM HOUSE,Brooklyn,AVENUE M,-73.957842,40.61826
NEW CHOI FOOK RESTAURANT,Brooklyn,86th Street,-73.99709,40.603896
SWEETGREEN,Manhattan,BOWERY,-73.991734,40.726535
Europa,Brooklyn,65th street,-73.98543,40.616269
LA ESTRELLA BAR & RESTAURANT,Bronx,JEROME AVE,-73.916691,40.841614
Wild Birds,Brooklyn,Dean St.,-73.958352,40.678185
The Pizza Parlor,Staten Island,Sneden Ave,-74.177057,40.540539
The Beatrice Inn,Manhattan,West 12th Street,-74.004009,40.737553
Regina's Family Pizzeria,Queens,Union tpke,-73.79256,40.725523
El Patio Mexicano,Manhattan,Broadway,-73.945115,40.833724
Starbucks Coffee,Manhattan,Third Ave,-73.975682,40.749076
Warique,Queens,37 ave,-73.87671,40.750539
The Breslin,Manhattan,Broadway,-73.988639,40.745713
Rintintin,Manhattan,Spring Street,-73.994823,40.721348
Franks Wine Bar,Brooklyn,Court Street,-73.998356,40.677237
PICK A BAGEL,Manhattan,Second Avenue,-73.956167,40.771832
Tempura Matsui,Manhattan,39th Street,-73.974773,40.748409
BLUE CITY LOUNGE CORP.,Queens,NORTHERN BLVD,-73.861702,40.757809
Desi Galli,Manhattan,Avenue B,-73.979583,40.72733
E & S SWEET BITES INC,Bronx,MORRIS PARK AVE,-73.866765,40.845097
NY SHOPKEEPER INC,Queens,37th Ave,-73.83332,40.760725
E & S SWEET BITES INC,Bronx,Morris Park Ave,-73.866765,40.845097
E & S Sweet Bites Inc,Bronx,Morris Park Avenue,-73.866765,40.845097
The Tasty Waffle Company,Brooklyn,Malcolm X Boulevard,-73.929491,40.685181
Nuevo Don Francisco Restaurant Corp,Queens,Junction Blvd,-73.868768,40.748051
Sweet Polly,Brooklyn,Sixth Ave,-73.974575,40.680531
PICASSO PIZZERIA,Manhattan,SOUTH END AVENUE,-74.016325,40.710255
The Harold,Manhattan,Broadway,-73.988465,40.748296
LOS CAFETALES RESTAURANT CORP,Queens,ROOSEVELT AVE,-73.887402,40.747278
LOS CAFETALES RESTAURANT CORP,Queens,ROOSEVELT AVE,-73.887402,40.747278
the Horny Ram,Manhattan,SECOND AVE,-73.968324,40.75517
kosher Hut of Brooklyn,Brooklyn,Kings Highway,-73.965438,40.606205
The Beatrice Inn,Manhattan,West 12th Street,-74.004009,40.737553
The Bao,Manhattan,Saint Marks Place,-73.988956,40.729156
The Bao,Manhattan,Saint Mark's PLace,-73.988869,40.729118
Truffa pizzeria & wine room corp,Bronx,Riverdale Avenue,-73.907001,40.886057
Atlas Cafe,Manhattan,2nd ave,-73.989295,40.726384
Absurd Conclave,Brooklyn,Jefferson st.,-73.924821,40.705764
&pizza,Manhattan,West 28th Street,-73.988383,40.74515
NUM PANG KITCHEN,Manhattan,LIBERTY STREET,-74.015673,40.711537
Bean n Bean,Queens,Northern Blvd,-73.736022,40.770037
Black iris,Brooklyn,Dekalb ave,-73.970284,40.689505
Starbucks Coffee,Manhattan,Third Ave,-73.975682,40.749076
"Trattoria Tre Colori, Inc.",Manhattan,West 47th Street,-73.986348,40.759919
NONNAS 1977,Queens,BELL BLVD,-73.771716,40.764964
Regina's Family Italian Pizzeria & Restaurant,Queens,Union Turnpike,-73.791571,40.725837
Haenyeo,Brooklyn,5th Ave,-73.98125,40.675237
GREEN GARDEN VILLAGE INC,Manhattan,GRAND ST,-73.996053,40.718908
Jimbos Restaurant & Bar,Queens,Astoria Blvd.,-73.918831,40.770272
Twist Coffee,Brooklyn,13th Ave,-74.009412,40.618408
Joes Pizza,Brooklyn,bedford ave,-73.958833,40.716815
Joes Pizza,Brooklyn,bedford ave,-73.958833,40.716815
Red Lobster,Manhattan,Times Square,-73.987208,40.755709
PATRON MEXICAN GRILL,Manhattan,9TH AVENUE,-73.991954,40.759341
jose luis,Manhattan,avenue b,-73.979225,40.727816
Spot Dessert Bar,Manhattan,St Marks Place,-73.989042,40.729192
Popeyes,Manhattan,Walker St,-74.000794,40.717854
Bar B,Manhattan,7th Avenue,-73.999022,40.739477
Beso NYC,Queens,28th Avenue,-73.909507,40.763513
Toribro Ramen,Manhattan,52nd street,-73.987275,40.764407
Yatenga French Bistro,Manhattan,Adam Clayton Powell Jr Blvd,-73.944409,40.814318
GD FOOD INC,Queens,38TH AVE,-73.826365,40.761812
Markjoseph steakhouse,Manhattan,Water street,-74.001591,40.708418
Miller's Ale House,Staten Island,Richmond ave,-74.169793,40.575922
Silvana,Manhattan,W. 116th Street,-73.955593,40.804505
THE NEW SANTIAGO RESTAURANT CORP.,Brooklyn,FULTON STREET,-73.869787,40.684327
Ouaga,Manhattan,Adam Clayton Powell Jr Blvd,-73.944126,40.814738
Sabor Latino,Queens,40th Road,-73.869846,40.748541
abc Restaurants,Manhattan,East 19th Street,-73.989456,40.738258
The Circus,Brooklyn,Coney Island Avenue,-73.962561,40.610909
Cafe Wha,Manhattan,MACDOUGAL ST,-74.000451,40.73006
Pinch Chinese,Manhattan,Prince Street,-74.001941,40.7263
MI GRAN SUENO GRILL & LOUNGE RESTAURANT CORP,Manhattan,BROADWAY,-73.954201,40.821305
Gata Golosa Colombian Eatery,Queens,31st St,-73.921853,40.766336
La Perla Del Ulua Restaurant Inc,Brooklyn,Melrose Street,-73.928026,40.703691
Shuxiang inc,Queens,41st Ave,-73.829066,40.758679
Bricklyn pizza,Brooklyn,Hancock street,-73.910826,40.692573
Jing Wei Hotpot inc,Brooklyn,60th Street,-74.011342,40.636562
Taqueria San Pedro,Manhattan,Broadway,-73.947535,40.830409
prima pasta & cafe,Queens,CrossBay BLVD,-73.83885,40.654982
Wanshun Seafood Restaurant,Queens,40th road,-73.83013,40.75887
CITY SNOOKER,Queens,BROADWAY,-73.889981,40.746056
Morandi,Manhattan,Waverly pl,-74.001635,40.735379
Yoodon,Queens,Northern blvd,-73.765438,40.760851
Yara,Manhattan,53rd Street,-73.966489,40.75649
Worthwild,Manhattan,9TH AVE,-74.002876,40.744352
Sofia wine bar,Manhattan,East 50th Street,-73.969756,40.75539
Sushi X9,Queens,Northern blvd,-73.914703,40.753803
MOIC CAFE,Manhattan,CROSBY ST,-73.997341,40.723437
MOIC CAFE,Manhattan,BROADWAY,-73.998092,40.72386
Shaking Crab,Queens,Prince Street,-73.832952,40.76076
Osteria 57,Manhattan,west 10th,-73.997258,40.734185
Tangra Masala,Queens,Grand Ave,-73.878122,40.736402
Yakiniku Gen,Manhattan,East 52nd St,-73.968716,40.756589
Jin Ding Xuan,Queens,Main St,-73.826028,40.745823
GRAIN HOUSE,Manhattan,Amsterdam ave,-73.965933,40.80012
TW noodle House,Brooklyn,8th AVE,-74.006122,40.638788
joy cafe inc,Queens,150st,-73.814225,40.763215
LENWICH,Manhattan,COLUMBUS AVE,-73.973817,40.784216
VOILA AFRIQUE,Manhattan,2ND AVENUE,-73.970863,40.751649
Maite,Brooklyn,Central Ave,-73.926815,40.699043
Springbone Kitchen,Manhattan,West 3rd Street,-73.99908,40.729909
Jax Inn Diner,Queens,Northern Blvd,-73.894439,40.754599
LENWICH,Manhattan,COLUMBUS AVE,-73.977707,40.778917
SWEETGREEN,Brooklyn,WASHINGTON ST.,-73.989617,40.702834
SWEET GREEN,Manhattan,PARK AVE,-73.975951,40.754508
Elephant & Castle,Manhattan,Greenwich Ave,-74.000942,40.736321
Just Salad,Manhattan,East 8th Street,-73.993635,40.731119
Just Salad,Manhattan,East 8th Street,-73.993635,40.731119
Paris Oven,Queens,30th avenue,-73.915672,40.764201
VEGETARIAN DIM SUM HOUSE,Manhattan,Pell Street,-73.998186,40.714862
PIPA,Manhattan,EAST 19 ST.,-73.989456,40.738258
ELIO'S RESTAURANT,Manhattan,2ND AVENUE,-73.952571,40.77676
Corto Cafe,Brooklyn,Halsey Street,-73.943152,40.682567
Vida Verde,Manhattan,West 55th Street,-73.982867,40.765002
ELI'S TASTE,Manhattan,3RD AVE,-73.956717,40.775058
Spicy Empire Skewer Hot Pot,Queens,45th Ave,-73.814983,40.75552
Dengji Restaurant,Queens,kissena blvd,-73.8186,40.750121
La Contenta Next Door,Manhattan,Norfolk,-73.987078,40.71891
Il Piccolo Bufalo Restaurant,Manhattan,Mulberry Street,-73.997619,40.718705
Graziellas Restaurant,Brooklyn,Vanderbilt Ave,-73.969331,40.690562
Arts and Crafts Beer Parlor,Manhattan,Amsterdam Ave,-73.961161,40.806654
Lhasa Fast food,Queens,74th St,-73.891617,40.747737
Panorama Restaurant,Queens,Astoria Blvd,-73.882056,40.764147
BAREBURGER,Manhattan,1681 1 AVENUE,-73.948721,40.777788
FLAVA II LOUNGE,Brooklyn,8920 AVENUE D,-73.912787,40.645905
DENGJI IIII RESTAURANT,Queens,4009 PRINCE ST,-73.831823,40.758831
DENG JI RESTAURANT,Queens,4622 KISSENA BLVD,-73.8186,40.750121
Cozy Royale,Brooklyn,434 HUMBOLDT STREET,-73.943061,40.716912
GOWANUS CORNER CAFE,Brooklyn,400 4 AVENUE,-73.987253,40.672123
LENWICH,Manhattan,613 9 AVENUE,-73.991922,40.75942
Pho 60,Brooklyn,60th Street,-74.004813,40.632642
LENWICH,Manhattan,16 WEST   23 STREET,-73.990394,40.741884
PELICAN REEF CATERERS,Brooklyn,1260 FLATBUSH AVENUE,-73.954661,40.639498
MULBERRY &amp; VINE,Manhattan,155 EAST   44 STREET,-73.974241,40.752386
SOJU HAUS,Manhattan,315 5 AVENUE,-73.985596,40.747002
MEMORIES BAR SHEVROJA,Brooklyn,2611 BATH AVENUE,-73.988377,40.592799
R &amp; J LOUNGE,Manhattan,109 EAST  116 STREET,-73.94259,40.799043
CHOLULA DELI GROCERY,Brooklyn,222 WYCKOFF AVENUE,-73.913981,40.701128
XI'AN FAMOUS FOODS,Manhattan,45 BAYARD STREET,-73.997168,40.715153
KEUR COUMBA RESTAURANT,Manhattan,125 WEST  116 STREET,-73.950602,40.80242
La Nonna Ristorante & Bar,Brooklyn,Kent Ave,-73.963698,40.718491
MALA PROJECT,Manhattan,41 WEST   46 STREET,-73.980426,40.75663
MALA PROJECT,Manhattan,122 1 AVENUE,-73.985572,40.727188
KEUR COUMBA RESTAURANT,Manhattan,125 WEST  116 STREET,-73.950602,40.80242
HARU,Manhattan,433 AMSTERDAM AVENUE,-73.977521,40.784234
PURPLE DOUGH,Queens,3805 69TH ST,-73.896426,40.746899
GOLDEN RING,Brooklyn,595 BEDFORD AVENUE,-73.960457,40.703553
MINNIE'S,Manhattan,29 CLINTON STREET,-73.984365,40.720466
FUKUOKA SHABU SHABU,Queens,45-68 KISSENA BOULEVARD,-73.819374,40.750844
DELI EL BIGOTES,Brooklyn,3 EAST   31 STREET,-73.948549,40.650541
BURGER KING,Manhattan,106 LIBERTY STREET,-74.012,40.709831
Someday Bar,Brooklyn,Atlantic Ave,-73.98623,40.687466
MR. CHOW TRIBECCA,Manhattan,121 HUDSON STREET,-74.008575,40.720052
XI'AN FAMOUS FOODS,Manhattan,313 6 AVENUE,-74.001537,40.730861
CHINESE RESTAURANT,Queens,4626 KISSENA BLVD,-73.81852,40.750047
ALADDIN HOOKAH LOUNGE,Queens,25-57 STEINWAY STREET,-73.912014,40.767542
TASTE OF LAHORE,Queens,7310 NORTHERN BOULEVARD,-73.89353,40.754694
BOLERO,Brooklyn,177 BEDFORD AVENUE,-73.957472,40.718058
CAFE SELECT,Manhattan,212 LAFAYETTE STREET,-73.99759,40.721782
TASTY BAKERY,Brooklyn,4505 8 AVENUE,-74.000894,40.643814
SUBWAY,Queens,18524A HORACE HARDING EXPY,-73.788961,40.739945
SUBWAY,Queens,18524A HORACE HARDING EXPY,-73.788961,40.739945
I AM THAI EXPRESS,Queens,4908 43RD AVE,-73.915376,40.744549
JERK HOUSE CARIBBEAN RESTAURANT,Manhattan,2143 ADAM CLAYTON POWELL JR BOULEVARD,-73.947305,40.810351
GRIND NYC COFFEE SHOP,Manhattan,602 9 AVENUE,-73.992062,40.759195
HUNAN DELIGHT,Manhattan,1467 YORK AVENUE,-73.951077,40.770529
HUNAN DELIGHT,Manhattan,1467 YORK AVENUE,-73.951077,40.770529
BLUE BOTTLE COFFEE,Manhattan,20 BROAD STREET,-74.011033,40.706553
TARALLUCCI E VINO,Manhattan,44 EAST   28 STREET,-73.985171,40.743777
EL SALVADOR RESTAURANT,Brooklyn,1544 MYRTLE AVENUE,-73.911762,40.699469
PASIONES SPORTS-BAR,Queens,40-04 69 STREET,-73.896275,40.746021
FERRARA BAKERY & CAFE INC,Manhattan,GRAND STREET,-73.996991,40.71921
BISTRO PUNTA SAL,Queens,45-51 46 STREET,-73.918923,40.742007
THE HOLLER,Brooklyn,348 FRANKLIN AVENUE,-73.9569,40.687234
BEATSTRO,Bronx,135 ALEXANDER AVENUE,-73.927162,40.807307
LOS CAFETALES RESTAURANT,Queens,7817 ROOSEVELT AVE,-73.887402,40.747278
IZZY'S BBQ SMOKEHOUSE,Brooklyn,397 TROY AVENUE,-73.937043,40.664838
THE GRADIENT,Brooklyn,17 WYCKOFF AVENUE,-73.92302,40.706682
BLUE BOTTLE COFFEE,Brooklyn,76 NORTH    4 STREET,-73.962014,40.717722
SOUTHERN HOSPITALITY,Manhattan,645 9 AVENUE,-73.991109,40.760535
SOUTHERN HOSPITALITY,Manhattan,645 9 AVENUE,-73.991109,40.760535
CLAY POT,Manhattan,270 BLEECKER STREET,-74.003121,40.731413
Clara's,Brooklyn,Wilson ave,-73.928856,40.702497
DEMI-MONDE,Brooklyn,257 VARET STREET,-73.933904,40.704114
MR. CHOW RESTAURANT,Manhattan,324 EAST   57 STREET,-73.964243,40.758855
MONTE'S BRICK OVEN,Bronx,136 ALEXANDER AVENUE,-73.927094,40.807367
MONTE'S BRICK OVEN,Bronx,136 ALEXANDER AVENUE,-73.927094,40.807367
PARDON MY FRENCH,Manhattan,103 AVENUE B,-73.981377,40.72483
MARKET TABLE,Manhattan,54 CARMINE STREET,-74.003666,40.729939
EAST COAST BURGERS,Queens,5321 METROPOLITAN AVE,-73.912375,40.7133
NEW TU DO RESTAURANT,Manhattan,102 BOWERY,-73.995184,40.717769
CHEOGOD.ZIP,Queens,16024 NORTHERN BOULEVARD,-73.805241,40.762786
THE CRABBY SHACK,Brooklyn,613 FRANKLIN AVENUE,-73.955526,40.677407
Bella Gioia,Brooklyn,4th Ave,-73.98294,40.677546
GUANTANAMERA,Manhattan,939 8 AVENUE,-73.983603,40.765735
MCDONALDS,Bronx,279 EAST  149 STREET,-73.921851,40.817162
MCDONALD'S,Bronx,2870 3 AVENUE,-73.917029,40.816399
LOS CAFETALES RESTAURANT,Queens,7817 ROOSEVELT AVE,-73.887402,40.747278
SALTWATER COFFEE,Manhattan,126 WAVERLY PLACE,-73.999664,40.732722
RYAN'S DAUGHTER CAFE,Manhattan,350 EAST   85 STREET,-73.951044,40.77668
FROST RESTAURANT,Brooklyn,193 FROST STREET,-73.943536,40.718211
RULE OF THIRDS,Brooklyn,29 NORMAN AVENUE,-73.954538,40.724526
BREAD &amp; BUTTER,Manhattan,25 WEST   56 STREET,-73.975489,40.762736
SPACE KARAOKE,Manhattan,34 WEST   32 STREET,-73.987101,40.747826
Rathbone's Pub,Manhattan,2nd Ave,-73.95067,40.779334
TASTE OF COCHIN,Queens,248-08 UNION TURNPIKE,-73.721794,40.742421
TASTE OF COCHIN,Queens,248-08 UNION TURNPIKE,-73.721794,40.742421
MCDONALD'S,Bronx,1749 UNIVERSITY AVENUE,-73.915968,40.850122
BLVD DINER,Queens,4311 QUEENS BLVD,-73.921274,40.743466
KONDITORI,Brooklyn,114 SMITH STREET,-73.98976,40.687793
PEACEFOOD CAFE DOWNTOWN,Manhattan,41 EAST   11 STREET,-73.993148,40.733241
HANAMICHI,Manhattan,28 WEST   32 STREET,-73.986878,40.74773
EL TIPICO RESTAURANT,Brooklyn,2933 FULTON STREET,-73.886573,40.679341
Lalys Restaurant,Queens,Roosevelt ave,-73.890243,40.746979
Dante,Manhattan,Macdougal St,-74.001533,40.728778
SAN MARZANO,Manhattan,117 2 AVENUE,-73.988191,40.727897
MABAT STEAKHOUSE,Brooklyn,1809 EAST    7 STREET,-73.965704,40.60648
MABAT STEAKHOUSE,Brooklyn,1809 EAST    7 STREET,-73.965704,40.60648
RIVERCREST,Queens,3315 DITMARS BLVD,-73.909498,40.775294
NINOS AQ,Queens,3501 DITMARS BLVD,-73.908788,40.774793
TONCHIN NEW YORK,Manhattan,13 WEST   36 STREET,-73.984354,40.750041
GUACUCO BED-STUY,Brooklyn,360 THROOP AVENUE,-73.94274,40.691962
JUN-MEN RAMEN BAR,Manhattan,249 9 AVENUE,-74.000339,40.747868
THE DITTY,Queens,3503 DITMARS BLVD,-73.908777,40.774785
Blank Slate Coffee + Kitchen (NoMad),Manhattan,Madison Avenue,-73.984662,40.745405
DEN SOCIAL/ KARAOKE DUET,Manhattan,65 WEST   36 STREET,-73.986,40.750733
ATOBOY,Manhattan,43 EAST   28 STREET,-73.985168,40.743794
ICE CREAM HOUSE ON 36,Brooklyn,2 CHURCH AVENUE,-73.983241,40.64123
THE CHURCHILL TAVERN,Manhattan,45 EAST   28 STREET,-73.985139,40.743783
ICE CREAM HOUSE ON AVE M,Brooklyn,1725 AVENUE M,-73.957842,40.61826
INDIE FOOD AND WINE,Manhattan,144 WEST   65 STREET,-73.983511,40.773574
SHAKING CRAB,Manhattan,2869 BROADWAY,-73.966017,40.805121
LUCALI,Brooklyn,575 HENRY STREET,-74.000465,40.681914
BAKERY RESTAURANT LOS PARCEROS,Queens,40-09 82 STREET,-73.883869,40.747324
Two Hands Williamsburg,Brooklyn,Kent Ave,-73.965983,40.716334
THE THIRSTY KOALA,Queens,35-12 DITMARS BOULEVARD,-73.908741,40.774736
YU KITCHEN,Manhattan,2656 BROADWAY,-73.969546,40.797697
YU KITCHEN,Manhattan,2656 BROADWAY,-73.969546,40.797697
BASQUIAT'S BOTTLE,Brooklyn,1198 FULTON STREET,-73.952704,40.680581
SYMPOSIUM GREEK RESTAURANT,Manhattan,544 WEST  113 STREET,-73.963947,40.805496
LAS DELICIAS RESTAURANT &amp; BAKERY,Queens,1801 COLLEGE POINT BLVD,-73.845856,40.782991
PHO 32,Queens,4534 BELL BLVD,-73.768819,40.759326
GUACUCO,Brooklyn,44 IRVING AVENUE,-73.924479,40.704753
LA TRONCALENA RESTAURANT,Queens,10210 37TH AVE,-73.865188,40.753059
SAKURA KAI,Queens,3515 DITMARS BLVD,-73.908719,40.774741
Wise Bar & Grill,Brooklyn,Neptune ave,-73.955466,40.582865
ACENTO LATIN KITCHEN &amp; BAR,Queens,3306 DITMARS BLVD,-73.909517,40.775285
TASTY'S DINER,Queens,3304 DITMARS BOULEVARD,-73.909517,40.775285
OCEAN TREASURES,Brooklyn,1706 CHURCH AVENUE,-73.963722,40.649177
LE MXICANO,Bronx,141 LINCOLN AVENUE,-73.928996,40.808472
AMAZING GRACE RESTAURANT,Queens,6902 ROOSEVELT AVE,-73.896174,40.746342
ART BAR,Manhattan,52 8 AVENUE,-74.00363,40.738585
TAVERNA KYCLADES,Queens,33-07 DITMARS BOULEVARD,-73.909502,40.775296
FOUR FOUR SOUTH VILLAGE TAIPEI BEEF NOODLES,Queens,3806 PRINCE ST,-73.832571,40.760073
FOUR FOUR SOUTH VILLAGE TAIPEI BEEF NOODLES,Queens,3806 PRINCE ST,-73.832571,40.760073
SEBASTIAN - CHLOE 81/ FARM HOUSE,Manhattan,81 LUDLOW STREET,-73.989419,40.718021
BARFLY NY,Manhattan,3RD AVE,-73.984455,40.737053
CARROT TOP PASTRIES,Manhattan,3931 BROADWAY,-73.941475,40.838731
BEER STREET SOUTH,Brooklyn,550 VANDERBILT AVENUE,-73.967923,40.680309
THE STRAND SMOKE HOUSE,Queens,25-27 BROADWAY,-73.928196,40.763315
SOMPONG THAI,Queens,3709 83RD ST,-73.883313,40.749524
JAGALCHI CORP,Queens,35-02 154 STREET,-73.810853,40.765831
SLICE &amp; CO,Bronx,3439 EAST TREMONT AVENUE,-73.827778,40.832488
SIP N CHAT COCKTAIL,Brooklyn,2910 AVENUE D,-73.94927,40.64089
PEE DEE STEAK,Manhattan,2006 3 AVENUE,-73.942706,40.794292
ATLAS KITCHEN,Manhattan,258 WEST  109 STREET,-73.966025,40.80309
ZENITH THAI,Queens,7002 FRESH POND RD,-73.895175,40.702477
Bar Crudo,Brooklyn,5th ave.,-73.985519,40.67013
MYRTLE SENECA PUB,Queens,5653 MYRTLE AVE,-73.904429,40.70033
HAPPY TOWN CHINESE RESTAURANT,Queens,1803 COLLEGE POINT BOULEVARD,-73.845856,40.782988
EUGENE MILLER,Manhattan,782 AMSTERDAM AVENUE,-73.969294,40.795548
ELEVA COFFEE BAR,Brooklyn,649 GRAND STREET,-73.946345,40.711419
SOB's,Manhattan,200 VARICK STREET,-74.005343,40.728347
TONG SAM GYUP GOO YI RESTAURANT,Queens,16223 DEPOT ROAD,-73.802937,40.761991
ZURILEE,Brooklyn,755 FLATBUSH AVENUE,-73.959592,40.654358
LAST STOP BAR &amp; GRILL,Bronx,4609 WHITE PLAINS ROAD,-73.851309,40.902346
MCDONALD'S,Manhattan,208 DYCKMAN STREET,-73.926954,40.865028
MCDONALD'S,Bronx,16 WESTCHESTER SQ,-73.843314,40.841082
JUST SALAD,Brooklyn,252 7 AVENUE,-73.9795,40.669407
THE MAZE,Manhattan,32 WEST   32 STREET,-73.987029,40.747793
BANGIA,Manhattan,11 EAST   32 STREET,-73.984741,40.746843
CHINA GLATT,Brooklyn,4413 13 AVENUE,-73.989335,40.637687
NAOMI KOSHER PIZZA,Queens,68-28 MAIN STREET,-73.824818,40.732474
PITANT SPORT TEAM,Brooklyn,502 EAST   95 STREET,-73.916765,40.655509
Sakura of Japan Teriyaki,Manhattan,65 WEST   30 STREET,-73.988975,40.747017
HOU YI HOT POT,Manhattan,92 HESTER STREET,-73.992623,40.71641
TUOME,Manhattan,536 EAST    5 STREET,-73.983462,40.724457
Espresso 77,Queens,77th Street,-73.889255,40.750919
POLLOS A LA BRASA MARIO,Queens,8101 ROOSEVELT AVENUE,-73.884717,40.747558
NORIKOH,Manhattan,43 WEST   24 STREET,-73.990686,40.742883
THE WOLFHOUND,Queens,3814 30TH AVE,-73.915668,40.764201
KEENS STEAKHOUSE,Manhattan,72 WEST   36 STREET,-73.986108,40.75076
MISHKA SOHO,Manhattan,519 BROOME STREET,-74.003821,40.723763
LIDO,Manhattan,2168 FREDERICK DOUGLAS BOULEVARD,-73.954939,40.804991
FREVO,Manhattan,48 WEST    8 STREET,-73.998549,40.733178
BLACK CAT LES,Manhattan,172 RIVINGTON STREET,-73.984607,40.718951
TASTE OF CHINA,Queens,67-08 FRESH POND ROAD,-73.896479,40.705552
ZAMAAN,Brooklyn,8915 5 AVENUE,-74.027826,40.619601
