restaurant_name,borough,street,longitude,latitude
Veselka Restauant,Manhattan,Second Avenue,-73.987303,40.729093
The Parlour,Manhattan,86th Street,-73.976942,40.788491
Bakestone Bakery,Brooklyn,Nassau Ave,-73.945478,40.725499
BAR NANA,Manhattan,GANSEVOORT ST.,-74.007282,40.739397
lobster house,Queens,queens blvd,-73.863635,40.730605
New York City Bagel and Coffee House,Queens,Broadway,-73.926818,40.762636
Osteria Laura NYC,Manhattan,Adam Clayton Powell Jr. Blvd.,-73.953243,40.802254
The 13th Step,Manhattan,Second Ave,-73.987123,40.72937
THREE DECKER RESTAURANT LTD,Manhattan,2ND AVENUE,-73.949441,40.781016
Watawa,Queens,Ditmars blvd,-73.909513,40.775283
Hilltop Perk Cafe,Manhattan,Haven Ave.,-73.942562,40.84427
Luscious Thai,Manhattan,1 Ave.,-73.961416,40.760391
Bordeaux,Brooklyn,Coney island ave,-73.962521,40.610695
SEVEN CHINA,Queens,HORACE HARDING EXPY,-73.755525,40.749362
Juice Generation,Manhattan,Greenwich Avenue,-74.001671,40.737496
mk,Manhattan,WEST 32Nd st,-73.986091,40.747414
Woorijip,Manhattan,West 32nd Street,-73.986278,40.747475
Vinnie's Pizzeria,Brooklyn,Bedford Ave,-73.956689,40.718815
Vanilla Gorilla Cafe,Manhattan,44th st,-73.989922,40.758978
Spice,Manhattan,1st Ave,-73.95359,40.771123
Thailands Center Point,Queens,39th Ave,-73.900464,40.746626
Congee Village,Manhattan,Allen Street,-73.990631,40.71868
Prince Tea House,Queens,Prince Street,-73.832867,40.761372
SCALINO G.P.,Brooklyn,MANHATTAN AVE,-73.951273,40.724599
FUYU RAMEN & SAKE,Queens,Queens blvd,-73.918449,40.743135
Pico de Gallo Restaurant,Queens,Roosevelt Ave,-73.885598,40.747468
Pollo Campero,Brooklyn,5TH Ave,-74.007575,40.647755
SUteiShi,Manhattan,Peck Slip,-74.001789,40.708025
Pico De Gallo Restaurant,Queens,Roosevelt Avenue,-73.885598,40.747468
4 Charles Prime Rib,Manhattan,Charles St,-74.00061,40.735261
Tina Bar Restaurant,Bronx,Washington Ave,-73.892022,40.856525
WOLFGANG'S STEAKHOUSE,Manhattan,8TH AVE,-73.990651,40.756039
Ramen DANBO,Manhattan,Carmine st,-74.003482,40.729997
Milk Money Kitchens Annex,Manhattan,Avenue A,-73.985031,40.723979
Sushi Ren,Manhattan,2nd Ave,-73.953507,40.775438
The Hamilton,Manhattan,Amsterdam Avenue,-73.964176,40.802562
The Hamilton,Manhattan,Amsterdam Avenue,-73.964176,40.802562
Brian Dempsey's,Queens,Bell Blvd,-73.77168,40.764939
TOSOCCHON,Queens,Bell Blvd,-73.768858,40.759406
Supermoon Bakehouse,Manhattan,Rivington Street,-73.987262,40.719755
